imdb_score,budget,gross,critic_reviews,user_reviews
1.6,13000000,73000942,84,233
1.9,20000000,11641988,32,129
2,15500000,5694308,16,34
2.1,12000000,4922166,60,304
2.2,42500000,17010646,7,16
2.3,20000000,5132655,112,521
2.4,49000000,13565884.5,152.5,863
2.5,18000000,27141959,25,93
2.7,25000000,23793098.5,75.5,235.5
2.8,15500000,7382993,24,53
2.9,15500000,7392633.5,28.5,32.5
3,10000000,7059537,29,64.5
3.1,3720000,13998282,27.5,56
3.2,225,7888703,5,12
3.3,5600000,10139241,35,64
3.4,1800000,23434827,21,15.5
3.5,9000000,19113172,58,54
3.6,15200000,11540112,52,84
3.7,19000000,48068396,79,179
3.8,22000000,11522141,52,80.5
3.9,10000000,3704815.5,20,35.5
4,7000000,16988996,38.5,31.5
4.1,16000000,16522447,49,79
4.2,30000000,13003213,59.5,89
4.3,12000000,28631215,48.5,79
4.4,18000000,19936195.5,64,81
4.5,13500000,14343976,53,42
4.6,14500000,19030024,63.5,100.5
4.7,20000000,14983572,71.5,48
4.8,20000000,19781879,67,86
4.9,22000000,23067752,87,121
5,15000000,25258217.5,70,104
5.1,23000000,16204793,66.5,92.5
5.2,25000000,27884014.5,73,94
5.3,17500000,14523367,66,88
5.4,24500000,24734620,70,95
5.5,30000000,30621895.5,102,138.5
5.6,25000000,25472967,94,135
5.7,18000000,25482931,98,95
5.8,27500000,32983713,96,137
5.9,27000000,27067160,101,155
6,35000000,21326748.5,77,109.5
6.1,23000000,32940507,111,129.5
6.2,20000000,20716324.5,107,126
6.3,24000000,22466994,114,131
6.4,30000000,32060947,131,185
6.5,20000000,25900000,126,134
6.6,22000000,30926382.5,113,155.5
6.7,21000000,31269209.5,121,148.5
6.8,16750000,21378000,123,165
6.9,18000000,25809813,104.5,144
7,19900000,15500000,129,186
7.1,18000000,19097994,142.5,180
7.2,15000000,25244700,122,170
7.3,18000000,26687172,152,196
7.4,11000000,21129348,121,202.5
7.5,17000000,26236000,136,229
7.6,19000000,39425399,156,316
7.7,14000000,21994911,152.5,258.5
7.8,18000000,45506619,157,351.5
7.9,16000000,32522352,177,389
8,12800000,44667095,205.5,460
8.1,16000000,65530508,157,483
8.2,13500000,27000000,144,356
8.3,10000000,39413069,151,445
8.4,15000000,6798246,111,426
8.5,19000000,78900000,212.5,824
8.6,6750000,61698823,174.5,909
8.7,4400000,112000000,153,672.5
8.8,63000000,292568851,260,2100.5
8.9,8000000,101998589.5,181,1300
9,99000000,295308030.5,149,650
9.2,6000000,134821952,208,2238
9.3,25000000,28341469,199,4144
